10,Counter-Strike,Valve,Action,Action;FPS;Multiplayer
20,Team Fortress Classic,Valve,Action,Action;FPS;Multiplayer
30,Day of Defeat,Valve,Action,FPS;World War II;Multiplayer
40,Deathmatch Classic,Valve,Action,Action;FPS;Multiplayer
50,Half-Life: Opposing Force,Gearbox Software,Action,FPS;Action;Sci-fi
60,Ricochet,Valve,Action,Action;FPS;Multiplayer
70,Half-Life,Valve,Action,FPS;Classic;Action
80,Counter-Strike: Condition Zero,Valve,Action,Action;FPS;Multiplayer
130,Half-Life: Blue Shift,Gearbox Software,Action,FPS;Action;Sci-fi
220,Half-Life 2,Valve,Action,FPS;Action;Sci-fi
240,Counter-Strike: Source,Valve,Action,Action;FPS;Multiplayer
280,Half-Life: Source,Valve,Action,FPS;Action;Sci-fi
300,Day of Defeat: Source,Valve,Action,FPS;World War II;Multiplayer
320,Half-Life 2: Deathmatch,Valve,Action,Action;FPS;Multiplayer
340,Half-Life 2: Lost Coast,Valve,Action,FPS;Action;Singleplayer
360,Half-Life Deathmatch: Source,Valve,Action,Action;FPS;Multiplayer
380,Half-Life 2: Episode One,Valve,Action,FPS;Action;Sci-fi
400,Portal,Valve,Action,Puzzle;First-Person;Singleplayer
420,Half-Life 2: Episode Two,Valve,Action,FPS;Action;Sci-fi
440,Team Fortress 2,Valve,Action;Free to Play,Free to Play;Multiplayer;FPS
500,Left 4 Dead,Valve,Action,Zombies;Co-op;FPS
550,Left 4 Dead 2,Valve,Action,Zombies;Co-op;FPS
570,Dota 2,Valve,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy
620,Portal 2,Valve,Action;Adventure,Puzzle;Co-op;First-Person
630,Alien Swarm,Valve,Action,Free to Play;Co-op;Action
730,Counter-Strike: Global Offensive,Valve;Hidden Path Entertainment,Action;Free to Play,FPS;Multiplayer;Shooter
1002,Rag Doll Kung Fu,Mark Healey,Indie,Indie;Fighting;Multiplayer
1200,Red Orchestra: Ostfront 41-45,Tripwire Interactive,Action,World War II;Action;FPS
1250,Killing Floor,Tripwire Interactive,Action,FPS;Zombies;Co-op
1300,SiN Episodes: Emergence,Ritual Entertainment,Action,Action;FPS;Cyberpunk
1500,Darwinia,Introversion Software,Indie;Strategy,Strategy;Indie;RTS
1510,Uplink,Introversion Software,Indie;Strategy,Hacking;Indie;Strategy
1520,DEFCON,Introversion Software,Indie;Strategy,Strategy;Indie;Multiplayer
1530,Multiwinia,Introversion Software,Indie,Indie;RTS;Strategy
1600,Dangerous Waters,Sonalysts,Strategy,Strategy;Simulation;Naval
1610,Space Empires IV Deluxe,Malfador Machinations,Strategy,Strategy;4X;Sci-fi
1630,Disciples II: Rise of the Elves ,Strategy First,Strategy,Strategy;Turn-Based Strategy;Fantasy
1640,Disciples II: Gallean's Return,Strategy First,Strategy,Turn-Based Strategy;Strategy;Classic
1670,Iron Warriors: T - 72 Tank Command ,Strategy First,Strategy,Simulation;Strategy;Tanks
1690,Space Empires V,Malfador Machinations,Strategy,Strategy;4X;Space
1700,Arx Fatalis,Arkane Studios,RPG,RPG;First-Person;Classic
